no,raw_tweet,clean_tweets,sentiment_label,,,Kolum,Deskripsi,
16,"@agungrhamdan Timing komedinya bagus sih tapi kadang ada bagian yg menurut gue ""ini kykny not meant to be funny"" tp ada yg ngakak tuh agak distracting hahaha emg pengalaman menonton itu kdg unik","['@agungrhamdan waktu komedinya bagus sih tapi kadang ada bagian yang menurut saya ""ini kayaknya tidak dimaksudkan untuk menjadi lucu"" tapi ada yang ngakak tuh agak mengganggu hahaha emang pengalaman menonton itu kadang unik', '@agungrhamdan waktu komedinya bagus sih tapi kadang ada bagian yang menurut saya ""ini kayaknya tidak dimaksudkan untuk menjadi lucu"" tapi ada yang ngakak tuh agak mengganggu hahaha emang pengalaman menonton itu kadang unik']",isi ini,,,,,
17,Selalu ada jalan.untuk menjemput apa yang kita butuhkan. God give what u need Not what u want,"['selalu ada jalan. untuk menjemput apa yang kita butuhkan. tuhan berikan apa yang kamu butuhkan bukan apa yang kamu inginkan', 'selalu ada jalan. untuk menjemput apa yang kita butuhkan. tuhan berikan apa yang kamu butuhkan bukan apa yang kamu inginkan']",isi ini,,,,,
18,"Im not your type, makannya aku cari orang lain ujar dia..Selama ini aku bales chat cepet .kamu anggap apa!! .Remahan stiker","['saya bukan tipe anda, makanya aku cari orang lain ujar dia. selama ini aku balas chat cepat. kamu anggap apa! remahan stiker', 'saya bukan tipe anda, makanya aku cari orang lain ujar dia. selama ini aku balas chat cepat. kamu anggap apa! remahan stiker']",isi ini,,,,,
19,"Tl isinya si @serpentfangs ngelike foto cewe terus, but I'm not complaining tho https://t.co/NO2W4PiWno","['tl isinya si @serpentfangs menyukai foto cewek terus, tapi aku tidak mengeluh https://t.co/NO2W4PiWno', 'tl isinya si @serpentfangs menyukai foto cewek terus, tapi aku tidak mengeluh https://t.co/NO2W4PiWno']",isi ini,,,,,
20,"Why Not menurut guamah, orang di KEMENAG juga kan ada badan2 Agama yang lainnya koq. Semua Agama diurus KEMENAG. cuma, mungkin buat sebagian orang kurang etis krna disini Mayoritas Muslim RT @NOTASLIMBOY: Gimana kalau Menag-nya sekali2 orang kristen... Peace... No twitwar :)","['kenapa tidak menurut saya mah, orang di kemenag juga kan ada badan-badan agama yang lainnya kok. semua agama diurus kemang. cuma, mungkin buat sebagian orang kurang etis karena di sini mayoritas muslim RT @NOTASLIMBOY: gimana kalau Menag-nya sekali-kali orang kristen. damai. tidak ada twitwar :)', 'kenapa tidak menurut saya mah, orang di kemenag juga kan ada badan-badan agama yang lainnya kok. semua agama diurus kemang. cuma, mungkin buat sebagian orang kurang etis karena di sini mayoritas muslim RT @NOTASLIMBOY: gimana kalau Menag-nya sekali-kali orang kristen. damai. tidak ada twitwar :)']",isi ini,,,,,
21,"Gak cuma formalitas aja gitu nanya, kenapa? Oo gt. Ngangguk2. Ok. Alergi obat? Ok. Saya resep ya. ..Gue sebel bgt sama yg begini. .Sorry not sorry, i need to discuss what happened with my body. What should i do and so on and so on. ..Gak cuma minum obat dr resep.","['tidak cuma formalitas saja gitu tanya, kenapa? oo gitu. mengangguk-angguk. baik. alergi obat? baik. saya resep ya. saya sebal sangat sama yang begini. maaf tidak menyesal, saya perlu mendiskusikan apa yang terjadi dengan tubuh saya. apa yang harus saya lakukan dan seterusnya. tidak cuma minum obat dari resep.', 'tidak cuma formalitas saja gitu tanya, kenapa? oo gitu. mengangguk-angguk. baik. alergi obat? baik. saya resep ya. saya sebal sangat sama yang begini. maaf tidak menyesal, saya perlu mendiskusikan apa yang terjadi dengan tubuh saya. apa yang harus saya lakukan dan seterusnya. tidak cuma minum obat dari resep.']",isi ini,,,,,
22,"Halo @JNECare pengiriman resi 120990003734319 menggunakan YES kenapa belum sampai ya? Dari kemaren di check tracking stuck di boyolali, sekarang di check tracking not found, tolong bantu penjelasan nya.","['halo @JNECare pengiriman resi 120990003734319 menggunakan yes kenapa belum sampai ya? Dari kemarin di periksa pelacakan macet di boyolali, sekarang di periksa pelacakan tidak ditemukan, tolong bantu penjelasannya.', 'halo @JNECare pengiriman resi 120990003734319 menggunakan yes kenapa belum sampai ya? Dari kemarin di periksa pelacakan macet di boyolali, sekarang di periksa pelacakan tidak ditemukan, tolong bantu penjelasannya.']",isi ini,,,,,
23,"I usually not gonna share things about pollitics. And this one is none about it, i think  Cuma bacaan yang membuka pemahaman gw aja tentang rakyat indonesia yang (mungkin) memang belum siap menjadi warga negara yang maju. https://t.co/k5v1jX2yK4","['saya biasanya tidak akan berbagi tentang politik. dan yang ini bukan tentang itu, kupikir cuma bacaan yang membuka pemahaman saya aja tentang rakyat indonesia yang (mungkin) memang belum siap menjadi warga negara yang maju. https://t.co/k5v1jX2yK4', 'saya biasanya tidak akan berbagi tentang politik. dan yang ini bukan tentang itu, kupikir cuma bacaan yang membuka pemahaman saya aja tentang rakyat indonesia yang (mungkin) memang belum siap menjadi warga negara yang maju. https://t.co/k5v1jX2yK4']",isi ini,,,,,
24,"WHERE WE LOVE IS TRULY HOME; HOME THAT OUR FEET MAY LEAVE, BUT NOT OUR HEARTS  OLIVER WINDELL HOLMES (Tempat yang paling kita cintai adalah rumah; rumah dimana kaki kita bisa saja meninggalkannya, tapi hati kita tak bisa melupakannya)","['di mana kita suka benar-benar rumah; rumah yang kaki kami dapat tinggali, tapi bukan hati oliver windell holmes kamu (tempat yang paling kita cintai adalah rumah; rumah dimana kaki kita bisa saja meninggalkannya, tapi hati kita tak bisa melupakannya)', 'di mana kita suka benar-benar rumah; rumah yang kaki kami dapat tinggali, tapi bukan hati OLIVER WINDELL HOLMES kamu (Tempat yang paling kita cintai adalah rumah; rumah dimana kaki kita bisa saja meninggalkannya, tapi hati kita tak bisa melupakannya)']",isi ini,,,,,
25,"Pak @jokowi bilangin TKNnya jangan lengah ya pak. Riil battlefield is offline not online. Selisih suara makin sempit, saya pengen bapak 2 periode. Jangan sampe kejadian pilkada DKI ya","['pak @jokowi bilangin tknnya jangan lengah ya pak. medan perang nyata offline tidak online. selisih suara makin sempit, saya ingin bapak 2 periode. jangan sampai kejadian pilkada dki ya', 'pak @jokowi bilangin tknnya jangan lengah ya pak. medan perang nyata offline tidak online. selisih suara makin sempit, saya ingin bapak 2 periode. jangan sampe kejadian pilkada dki ya']",isi ini,,,,,
26,"@askmenfess It's not funny, for me. Gue ngebayangin adek gue yg ada di posisi dedek itu, dan adek gue juga sering video ala2 youtuber, and i don't even judge or mock her for doing that, i just let her be. Sumpah gue sedih liatnya","['@askmenfess ini tidak lucu, bagi saya. saya ngebayangin adik saya yang ada di posisi adik itu, dan adik saya juga sering video ala-ala youtuber, dan saya bahkan tidak menghakimi atau mengejeknya karena melakukan itu, saya hanya membiarkannya. sumpah gue sedih liatnya', '@askmenfess ini tidak lucu, bagi saya. saya ngebayangin adik saya yang ada di posisi adik itu, dan adik saya juga sering video ala-ala youtuber, dan saya bahkan tidak menghakimi atau mengejeknya karena melakukan itu, saya hanya membiarkannya. sumpah gue sedih liatnya']",isi ini,,,,,
27,"Use eyes, not mouth. Don't ask a lot, try to find out, bitches!.........Jangan tanya artinya! Cari tau sendiri, kentut nyamuk!","['gunakan mata, bukan mulut. jangan banyak bertanya, cobalah mencari tahu, pelacur! jangan tanya artinya! cari tahu sendiri, kentut nyamuk!', 'gunakan mata, bukan mulut. jangan banyak bertanya, cobalah mencari tahu, pelacur! jangan tanya artinya! cari tau sendiri, kentut nyamuk!']",isi ini,,,,,
28,Aku selalu pengen jadi pendongeng. ..Buat apa? ..Ya biar jadi pencerita yg baik lah buat anak anak kita kelak hahahahahaha...You're not a story teller shin. You're totally a mendes plis kurang2in. ..Oke mas. Selamat hari dongeng :))) https://t.co/Y1PUZGrwrk,"['aku selalu ingin jadi pendongeng. buat apa? ya biar jadi pencerita yang baik lah buat anak-anak kita kelak hahahahahaha. anda bukan tukang cerita dong. anda benar-benar mendes tolong kurang-kurangi. oke mas. selamat hari dongeng :))) https://t.co/Y1PUZGrwrk', 'aku selalu ingin jadi pendongeng. buat apa? ya biar jadi pencerita yang baik lah buat anak-anak kita kelak hahahahahaha. anda bukan tukang cerita dong. anda benar-benar mendes tolong kurang-kurangin. oke mas. selamat hari dongeng :))) https://t.co/Y1PUZGrwrk']",isi ini,,,,,
29,@WatchmenID Bingung nonton five feet apart atau ini dulu.. atua why not booth????,"['@WatchmenID bingung tonton terpisah lima kaki atau ini dulu. atau kenapa tidak keduanya?', '@WatchmenID bingung tonton terpisah lima kaki atau ini dulu. atau kenapa tidak keduanya?']",isi ini,,,,,
30,@JNECare 010500010902019 yg bener aja kak jam 11 siang Not Time Delivery (bukan jam pengantaran) ??? https://t.co/27ipkUpEXM,"['@JNECare 010500010902019 yang benar saja kak jam 11 siang bukan waktu pengiriman (bukan jam pengantaran)? https://t.co/27ipkUpEXM', '@JNECare 010500010902019 yg benar saja kak jam 11 siang bukan waktu pengiriman (bukan jam pengantaran)? https://t.co/27ipkUpEXM']",isi ini,,,,,
31,"Supporting circumstance memang se-penting itu, tapi kalo kalo gak nemuin lingkungan tsb, do not give up!  Coba ciptain sendiri lingkungan pendukung tsb dgn cari teman2 yg satu visi dan misi. ..*talk to my self*","['keadaan yang mendukung memang sepenting itu, tapi kalau kalau tidak menemukan lingkungan tersebut, jangan menyerah! coba ciptakan sendiri lingkungan pendukung tersebut dengan cari teman-teman yang satu visi dan misi. *berbicara pada diri sendiri*', 'keadaan yang mendukung memang sepenting itu, tapi kalau kalau tidak menemukan lingkungan tersebut, jangan menyerah! coba ciptakan sendiri lingkungan pendukung tersebut dengan cari teman-teman yg satu visi dan misi. *talk to my self*']",isi ini,,,,,
32,The end still not seen. Ini kerjaan beneran baru kelar kalau resign :'''''),"[""akhirnya masih belum terlihat. ini kerjaan benarnya baru selesai kalau mengundurkan diri :''''')"", ""akhirnya masih belum terlihat. ini kerjaan benarnya baru selesai kalau mengundurkan diri :''''')""]",isi ini,,,,,
33,potret SJW yang tidak well-informed https://t.co/cURyGs1ElL,"['potret sjw yang tidak tersampaikan dengan baik https://t.co/cURyGs1ElL', 'potret SJW yang tidak tersampaikan dengan baik https://t.co/cURyGs1ElL']",isi ini,,,,,
34,"@VIVAcoid Percaya iyu sama Allah, jgn sama survey karrna pasti ada something klu pemilih cerdas gunakan rasional jgn emosional","['@VIVAcoid percaya itu sama allah, jangan sama survey karena pasti ada sesuatu kalau pemilih cerdas gunakan rasional jangan emosional', '@VIVAcoid percaya itu sama allah, jangan sama survey karena pasti ada sesuatu kalau pemilih cerdas gunakan rasional jangan emosional']",isi ini,,,,,
35,Dia udah t e r s a n g k a can you guys chill https://t.co/yKCDgiQJJ2,"['dia sudah tersangka bisakah kalian bersantai https://t.co/yKCDgiQJJ2', 'dia sudah tersangka bisakah kalian bersantai https://t.co/yKCDgiQJJ2']",isi ini,,,,,
36,"Ok ok, akhirnya not unbeaten.#FinoAllaFineForzaJuventus","['baik baik, akhirnya tidak tak terkalahkan. #FinoAllaFineForzaJuventus', 'baik baik, akhirnya tidak tak terkalahkan. #FinoAllaFineForzaJuventus']",isi ini,,,,,
37,"Well i dunno, dikirimin video video alesan dia pen ruqyah tp ga kedonlod bcs sinyal 3 yg ee disini","['saya tidak tahu, dikirimin video video alasan dia pingin rukiah tapi tidak download karena sinyal 3 yang ee di sini', 'saya tidak tahu, dikirimin video video alasan dia pingin rukiah tapi tidak download karena sinyal 3 yang ee di sini']",isi ini,,,,,
38,"Eksperimen butter rolls, walaupun ada yg ke lupa stepnya tapi not bad lah besok bisa coba lagi. Gagal itu biasa~ https://t.co/5dYbYT6yR6","['eksperimen mentega gulung, walaupun ada yang ke lupa langkahnya tapi tidak buruk lah besok bisa coba lagi. gagal itu biasa~ https://t.co/5dYbYT6yR6', 'eksperimen mentega gulung, walaupun ada yang ke lupa langkahnya tapi tidak buruk lah besok bisa coba lagi. gagal itu biasa~ https://t.co/5dYbYT6yR6']",isi ini,,,,,
39,"@not_kirei @wr200465 Utk tata laksana cover obat bs diliat pd undang2. Trastuzumab MASIH dicover BPJS tp penggunaan trastuzumab utk stadium 3 tdk lg efektif menurut dewan uji klinis, jd apakah utk stad 3 msh dicover bd dibc lg pd UU nya.","['@not_kirei @wr200465 untuk tata laksana penutup obat bisa dilihat pada undang-undang. trastuzumab masih ditutupi bpjs tapa penggunaan trastuzumab untuk stadium 3 tidak lagi efektif menurut dewan uji klinis, jadi apakah untuk stadium 3 masih ditutupi bd dibaca lagi pada UUnya.', '@not_kirei @wr200465 untuk tata laksana penutup obat bisa dilihat pada undang-undang. trastuzumab masih ditutupi BPJS tapa penggunaan trastuzumab untuk stadium 3 tidak lagi efektif menurut dewan uji klinis, jadi apakah untuk stadium 3 masih ditutupi bd dibaca lagi pada UUnya.']",isi ini,,,,,
40,Inside : not ready for usbn unbk utbk simak utul iup dll!.Outside : https://t.co/Z1wIVnXTHc,"['dalam : belum siap untuk usbn unbk utbk simak utul iup dll! . di luar : https://t.co/Z1wIVnXTHc', 'dalam : belum siap untuk usbn unbk utbk simak utul iup dll! . di luar : https://t.co/Z1wIVnXTHc']",isi ini,,,,,
41,"apapun, pasti akan reda juga. Do not ever be.afraid. :) DiaryDelima","['apapun, pasti akan reda juga. jangan pernah takut. :) DiaryDelima', 'apapun, pasti akan reda juga. jangan pernah takut. :) DiaryDelima']",isi ini,,,,,
42,"""Ur not me, Loe straight. U cant judge me"".Misal suka sama lawan jenis salah dimata Tuhan & Suka sesama jenis itu benar dimata Tuhan..Gua akan pilih apapun yg menurut Tuhan itu benar. Trlepas dari itu bkn adlh hasrat gue yg sbnrnya.Why? Cz I love GOD more than myself or ANYTHING!","['""kamu bukan saya, kamu lurus. kamu tidak bisa menilai saya"" . misal suka sama lawan jenis salah di mata tuhan & suka sesama jenis itu benar di mata tuhan. saya akan pilih apapun yang menurut tuhan itu benar. terlepas dari itu bukan adalah hasrat saya yang sebenarnya. kenapa? karena saya mencintai tuhan lebih dari diri saya dan apapun!', '""kamu bukan saya, kamu lurus. kamu tidak bisa menilai saya"" . misal suka sama lawan jenis salah di mata tuhan & suka sesama jenis itu benar di mata tuhan. saya akan pilih apapun yang menurut tuhan itu benar. terlepas dari itu bukan adalah hasrat saya yang sebenarnya. kenapa? karena saya mencintai tuhan lebih dari diri saya dan apapun!']",isi ini,,,,,
43,We age .not by years.But by stories @ PT. Pengangguran Banyak DUIT https://t.co/GNrmPMK6qB,"['kita menua. bukan oleh tahun. tapi dengan cerita @ PT. pengangguran banyak duit https://t.co/GNrmPMK6qB', 'kita menua. bukan oleh tahun. tapi dengan cerita @ PT. pengangguran banyak duit https://t.co/GNrmPMK6qB']",isi ini,,,,,
44,"I think the only person who knows me too well, TOO WELL, sampai busuk2nya pun cuman @haloyagimana  Terlalu banyak petualangan kl sm doi mah.","['saya pikir satu-satunya orang yang mengenal saya dengan baik, terlalu baik, sampai busuk-busuknya pun cuma @haloyagimana  terlalu banyak petualangan kalau sama doi mah.', 'saya pikir satu-satunya orang yang mengenal saya dengan baik, terlalu baik, sampai busuk-busuknya pun cuma @haloyagimana  terlalu banyak petualangan kalau sama doi mah.']",isi ini,,,,,
45,"Vit C Serum by Hello Derma .Price : 85,000..ohiya teksture serum vit c by hello derma adalah water based ya not oil jadi cepat bgt meresap nya dan ga lengket sama sekali https://t.co/rq5afl5GfZ","['vitamin c serum oleh hello derma. harga : 85,000. oh iya tekstur serum vitamin c oleh hello derma adalah berbahan dasar air ya bukan minyak jadi cepat sangat meresapnya dan tidak lengket sama sekali https://t.co/rq5afl5GfZ', 'vitamin c serum oleh hello derma. harga : 85,000. oh iya tekstur serum vitamin c oleh hello derma adalah berbahan dasar air ya bukan minyak jadi cepat sangat meresapnya dan tidak lengket sama sekali https://t.co/rq5afl5GfZ']",isi ini,,,,,
46,Kayaknya ada dua kavling yg depan depanan sama Stasiun MRT Fatmawati msh dibiarkan kosong...Property market has not catching up atau emang lokasi stasiunnya butut.,"['kayaknya ada dua kaveling yang depan-depanan sama stasiun MRT Fatmawati masih dibiarkan kosong. pasar properti belum menyusul atau emang lokasi stasiunnya butut.', 'kayaknya ada dua kapling yang depan-depanan sama stasiun MRT Fatmawati masih dibiarkan kosong. pasar properti belum menyusul atau emang lokasi stasiunnya butut.']",isi ini,,,,,
47,"@detikcom Yaela isat mah ga profit, mending gausa di buyback wkwk, not worth","['@detikcom yaela isat mah tidak profit, mending tidak usah di beli kembali wkwk, tidak untung', '@detikcom yaela isat mah tidak profit, mending tidak usah di beli kembali wkwk, tidak untung']",isi ini,,,,,
48,Ke whats good malah jadi not good..HAHA apasi apasi,"['ke apa yang baik malah jadi tidak baik. haha apasi apasi', 'ke apa yang baik malah jadi tidak baik. haha apasi apasi']",isi ini,,,,,
49,"@mhswara_ Sbnernya klen sama aja sik dengan bilang bahwasannya ""muslims (community) are not terrorist"" yang mana menunjukan emang hanya sebagian muslim yg terrorist dan menolak digeneralisir. Dan juga ""most terrorist i've ever heard..."" yang mana menunjukan tidak semua muslims community.","['@mhswara_ sebenarnya kalian sama saja sih dengan bilang bahwasannya ""muslim (komunitas) bukan teroris"" yang mana menunjukkan memang hanya sebagian muslim yang teroris dan menolak digeneralisasi. dan juga ""sebagian teroris yang pernah saya dengar."" yang mana menunjukkan tidak semua komunitas muslim.', '@mhswara_ sebenarnya kalian sama saja sih dengan bilang bahwasannya ""muslim (komunitas) bukan teroris"" yang mana menunjukkan emang hanya sebagian muslim yg teroris dan menolak digeneralisasi. dan juga ""sebagian teroris yang pernah saya dengar."" yang mana menunjukkan tidak semua komunitas muslim.']",isi ini,,,,,
50,"let's not get too attached to a personality..misalnya kamu suka ide A dari Jokowi dan ide B dari Prabowo. biarpun mereka ada di kubu yang beroposisi, kamu nggak harus memilih salah satu. kamu bisa membangun opinimu sendiri dari adaptasi kedua ide.","['jangan terlalu terikat dengan kepribadian. misalnya kamu suka ide a dari jokowi dan ide b dari prabowo. biarpun mereka ada di kubu yang beroposisi, kamu tidak harus memilih salah satu. kamu bisa membangun opinimu sendiri dari adaptasi kedua ide.', 'jangan terlalu terikat dengan kepribadian. misalnya kamu suka ide a dari jokowi dan ide b dari prabowo. biarpun mereka ada di kubu yang beroposisi, kamu tidak harus memilih salah satu. kamu bisa membangun opinimu sendiri dari adaptasi kedua ide.']",isi ini,,,,,
51,@askmenfess apa gua doang ya yg not even care :)) lo mau bontel kek asal care itu cowo yg joss wkwkwk,"['@askmenfess apa saya saja ya yang bahkan tidak peduli :)) kamu mau bontel seperti asal peduli itu cowok yg joss wkwkwk', '@askmenfess apa saya doang ya yang bahkan tidak peduli :)) kamu mau bontel seperti asal peduli itu cowok yang joss wkwkwk']",isi ini,,,,,
52,"@adityalokaa Oke kalo gitu resign nih? Namun siapkah kalian para lelaki membiayai segala kebutuhan dan keperluan wanita? Hahaha.Honestly, it's not my choice","['@adityalokaa oke kalo gitu resign nih? namun siapkah kalian para lelaki membiayai segala kebutuhan dan keperluan wanita? hahaha. sejujurnya, itu bukan pilihan saya', '@adityalokaa oke kalo gitu resign nih? namun siapkah kalian para lelaki membiayai segala kebutuhan dan keperluan wanita? hahaha. sejujurnya, itu bukan pilihan saya']",isi ini,,,,,
53,"@tubbirfess i want to be a writer or painter soon. pengen menyalurkan ekspresi aja lewat menulis/menggambar since im not really good untuk mengutarakan perasaan sesungguhnya. then i want to have my own exhibition, share everything dari sudut pandang gue","['@tubbirfess saya ingin segera menjadi penulis atau pelukis. ingin menyalurkan ekspresi saja lewat menulis / menggambar karena saya tidak begitu baik untuk mengutarakan perasaan sesungguhnya. kemudian saya ingin memiliki pameran sendiri, membagikan semuanya dari sudut pandang saya', '@tubbirfess saya ingin segera menjadi penulis atau pelukis. ingin menyalurkan ekspresi saja lewat menulis / menggambar karena saya tidak begitu baik untuk mengutarakan perasaan sesungguhnya. kemudian saya ingin memiliki pameran sendiri, membagikan semuanya dari sudut pandang saya']",isi ini,,,,,
