index,sentimen,Tweet
99,0,makin lama rasa apebende laa aku melalut ni i better stop 
100,1,iya lucu emang dia aku temenan di ig
101,0,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak 
102,0,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
103,0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
105,1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
106,1,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov 
108,1,kak mau jugaa
110,0,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
111,0,aku tak faham betul lelaki tak suka perempuan pakai makeup 
112,0,wasyuu 
113,1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew 
114,1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
115,1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
117,1,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt 
118,0,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to 
119,0,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
121,1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun 
123,0,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin 
124,0,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
127,0,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat
128,0,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan 
129,0,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i 
130,0,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
131,0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
132,0,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
133,1,buat dong aku kan juga istrinya daniel 
134,0,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai 
135,1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
136,0,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss
140,1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa 
141,0,sudah waktunya aku mulai menjalani hidupku sendiri mello death note 
143,0,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri 
145,1,tolong la harini je dah banyak sangat ketawa krem perut aku yall
146,0,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
147,0,mu gemes banget adminnya aku ga jadi marah 
151,1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
152,1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
153,0,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt 
154,0,keluar airmata jantan aku baca 
155,0,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p 
157,0,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape 
159,1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
162,0,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin 
163,0,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
164,1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
165,1,segitu kangennya ya mba sama aku 
168,0,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya
169,1,hidup ini adalah pilihan yang harus kamu pilih
171,0,laa haha sorry2 akualah paham 
172,0,receeehh ah kamu
174,0,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau 
176,1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
177,0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
178,0,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be 
179,0,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p
180,0,kok gitu sama aku
181,0,kukira aku introvert ternyata juga pedopil 
183,1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku 
184,0,omg kau jgn buat aku g kfc ppagi cmni 
186,0,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan 
188,1,i liked a video aku tanya pak jokowi pakai bahasa jawa 
189,0,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada 
193,0,kayak woojin kesringan barengih dasar anak kembar 
194,1,okaay nggapapaa aku minta doyoung ajaa makasih yaa 
195,0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
197,0,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat 
199,1,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat 
200,1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
201,0,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
202,0,rama gak usah ganggu aku sama karya ya tolong 
203,0,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
204,1,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
207,0,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk 
208,1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca 
211,0,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk 
212,0,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
215,0,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
216,1,jika aku jadi ratumu maka pasti kau rajanya ya kan 
219,0,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr 
220,0,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
221,0,aku beria sekalipun bukannya kau nak appreciate 
224,0,aku harap dia tak jual fhone 8 dia semata nak beli xs tu 
227,1,aku penggemar mie burung dara enaknya nyambung terus
228,0,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
229,0,kalen kalen pada jahad ma aku 
230,0,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk 
231,0,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi 
233,1,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after 
235,0,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
236,1,be strong bro 
239,1,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d 
247,1,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu 
250,0,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati 
251,1,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani 
252,0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
253,1,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n 
254,0,1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore 
255,1,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
258,1,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak 
261,0,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm 
262,1,stay beside you was my job hehee sayang kamu 
264,0,dah lah cpk aku
265,0,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
268,1,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu 
272,1,fams sama aku yuk 
276,0,aku nangis nih 
278,1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
279,0,aku ditusuk dr belakang sakit 
286,0,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang 
287,0,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
289,0,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' 
291,1,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya 
293,0,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi 
295,1,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti 
298,1,gilaaa beliin aku dong kak 
304,0,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
307,0,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak 
308,0,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama 
310,0,yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a 
312,1,kalau kamu mau dihormati harus mau menghormati
314,0,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
315,1,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
316,0,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
317,1,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos 
318,0,jangan jadi kompor kamu ya jeffan
319,1,aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k 
320,1,omg kamu harus melihat ini bigolive 
323,0,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
326,1,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang 
330,0,minta ais batu je la anjir 
331,0,iya sabar aku mah tiap ada jeno selalu melesat mengetag amu 
332,0,omg batuk aku berdarah adakah ini jumaat yang terakhir 
337,1,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik
338,1,aku pake himalaya neem mask juga gini kok bagus emg matull banget
340,0,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau t 
342,0,lah aku tuh susaaah orang dikit dikit kepikiran makanya anaknya gampang pusing dan stress sendiri 
345,0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
346,1,selalu buat macam ni setiap kali nampak peti ais kat dapur haha
350,0,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gedenya cakep sampe sekarang sudah 13928174 
352,1,idola aku banget itu mba 
353,0,tu ah pelik aku sunyi sepi damak haritu 
354,0,kenapa ya mimpi itu langsung lupa padahal semalem aku mimpi dapetin kamu tapi sekarang lupa caranya recehkantwiter
355,0,mau nangis banget aku pas ngerujuk pasien pake ambulance ni mas gojeknya bantuin bukain jalan padahal beliau bukan k 
359,1,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b 
368,0,aku pun tak faham dengan diri aku 
369,1,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang 
370,0,boleh plk dio gi langgar lampu merah kt simpang nk belok kanan aku sempat nepik lagi time kereta merc dari kiri nk 
371,1,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi 
372,0,aku malas nak ikut perkembangan latest iphone xs tu hahahahah sebab tak check pun kalau korang boleh tolong bagitahu kat 
373,0,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de 
374,0,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya 
375,1,shopee kamu apaa mau dong
379,1,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani 
382,0,udah kyk gini aja msh di bilang males temen temen aku baju sm celana dalam nya aja juga masih di cuciin emak nya 
384,0,mbaknya takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali lagi tapi pas kondisin 
387,0,crush kalau nak tegur ye tegur kalau suka cakap suka daripada kau dok tengok je story aku tak pernah missebb 
388,1,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek 
391,1,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a 
394,1,aku cinta w1 
395,0,aku menyerah bapa
400,0,apa yang kau nak sebelum meninggal aku nak sebelum aku mati allah ampunkan semua dosa aku dan matikan aku dalam kead 
402,1,done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram 
403,0,kamu salah wiwin manusia itu buat teman hidup bukan utk berharap berharap itu sm tuhan alloh 
404,0,nggak pengen suudzon dulu kupernah gini yg ilang charm gitu kejadiannya sama persis aku pamerin 
407,0,kenapala aku taktegur kau tadi hm padahal niat aku nak tegur kau nak jadi kawan macam sebelum sebelum nierious aku t 
408,0,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya 
409,0,kenapa aku nangis baca komik ni 
410,1,aku mau 
413,0,semua masa lalu biarlah berlalu tapi rasa syg aku ke kamu gak bakal bisa berlalu gitu aja aku syg kamu ' 
415,0,aku why kena taboks juga a jadi teman papa lum intel 
416,0,aku mau ngutuk rizkiko boleh ga 
417,0,bukan coba kamu lawan sakitnya bukan coba kamu tentang sakitnya bukan coba kamu lupain sakitnya tapi coba terbiasa dengan 
421,0,gimana cara biar aku tau perasaanmu yg sebenarnyaa 
422,1,doa untuk ibu dan bapa ya allah ampunila 
423,0,jika engkau tdk mentakdirkan dia untuk ku aku sangat berterimakasih engkau sempat mempertemukanku kembali dgn cipt 
430,0,kadang meskipun kamu yakin telah melupakannya sebuah lagu mampu membawa semua kenangan indah bersamanya kembali ke pikiranmu kmutiara
432,0,masuk tandas pun bayar okay mana ada free nak main bagi bagi 
435,1,tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu 'skill mu sampai tuntas buat smua kagum p 
436,0,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
439,1,ciri lelaki idaman aku um kena sama macam ayah aku 
440,0,sumpah annoying weh tu masalah kau jgn expect aku selesaikan 
443,0,aku ni malas nak layan orang kang tak layan kang kesian dh layan kang fake hope haiyo apa nak buat ni 
444,1,sikaaat ajaaaa sissst sikat bajunya celananya biar bersih wkwk canda ding kalo bisa ga usah sikat sii 
446,1,shuhuaama sih tapi aku suka banget sama makanan jepang 
447,0,aku traumatised tengok fjdjksj kenapa punn dub japanese 
448,0,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena 
451,1,aku pun nak cari rezeki halal bisnes online dgn cara betul takkan aku nak menipu orang pulak kan
454,1,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a 
455,1,selamat bertambah umur kamuu semoga kamu sehat selalu dan dipanjangkan umurmuemoga kamu selalu di 
456,0,bangsad ditampar gue
457,1,wei aku kt kedai mamak ni tiba2 keluar nudes kt tl aduh hahahaha
458,0,malu betul aku ada junior macam asheeq ali ni yihhhhhhh 
467,1,walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi 
468,0,kadang kamu harus berhenti peduli pada seseorang bukan karena membencinya tapi karena dia tak pernah menyadari pedulimu katabijak
472,0,bengis nya perempuan tu tengok aku haha xhabis2 dendam nya kali dengan aku ni semenjak asasi lagi 
473,1,hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku
474,1,rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau 
476,0,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem 
477,1,mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi j 
478,0,bodo betul aku terhibur bodo ada member ceni 
479,1,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaah 
480,1,muhammad q muhammad q dengarkanlah seruanku aku rindu ak rindu padamu muhammad q
481,0,sakit hati bile dengar kisah orang kalau kene sendiri entoh le memang aku ngamuk 
483,0,aku hanya ingin melindungi mereka walau harus menjalani penderitaan seperti apapun nagato chapter 373 quoteui
484,0,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
486,0,bukankah pantas jika aku merasa berbeda 
487,1,jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi 
490,0,jika aku memanggilmu jangan tanya kenapa aku memanggilmu itu karena aku rindu tanyalah hatimu rindukah kamu denganku aseq 
491,1,seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang 
492,1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
495,1,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man 
496,1,aku mauuuu
497,0,aku dan kisah miskinku 
498,0,aku nak tengok sampai bila nak berlakon bodoh tu 
499,0,amit amit ya allah 
500,1,omg kamu harus melihat ini bigolive gt pada kemana aja 
501,1,ngikik baca ginian siang hari
502,1,wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah 
504,0,mu gemes banget adminnya aku ga jadi marah 
508,0,11 pernah hehehehe 12 pernah sekali dan aku menyesal 
509,1,lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering
510,1,gemes kan aku oenyoe getoh cmiew jfclosedday
511,0,kita kamu aja please gausah ajak ajak aku 
513,1,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu 
514,1,kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang 
515,0,dom malang nih kamu 
518,0,kecewa jugak bila kita ingat dia dah tidur sebab tak reply whatsapp tiba tiba tengok dekat ig boleh pulak reply dm orang 
519,0,kamu serupa kegagalan mematahkan tapi ingin terus kuperjuangkan 
520,0,sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan 
525,0,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok 
526,0,askmf aku mau kasih kado earphone ke gebetanku tpi gagal jd pacar terus kutilisin dengerin apa yg kamu mau denger jang 
527,0,ngetik kangen aku tuh hapus gamau tag orang nya ldmstro 
530,0,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
531,1,teruntuk kak rehan kamu yg sabar ya 
533,1,terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th 
535,1,belum start kuliah aku dah ponteng haih apa nak jadi hahaha
536,0,dah kenapatudent poal ni aku login accendiri nak buat entranceurvey tapi keluar profile orang lain yang aku tak kenal
537,0,dan aku hanyalah penyelam dungu yang mengira ngira lautmu tak berombak harus kusebut apa rasa ini kosong dan rendah gair 
538,1,iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya 
541,0,ada masa dimana namamu adalah yang paling aku tungguedangkang sekarang datang masa dimana sebisa mungkin aku berharap tak me 
542,1,kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma 
543,1,hsjsjs aku juga apalagi kalo diliat dancenya 
544,0,kamu tu cari kebenaran atau justru pembenaran you do you i'll do me 
547,1,selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya 
